,_id,ltable_movie_no,rtable_movie_no,ltable_movie_name,ltable_movie_year,ltable_movie_director,ltable_movie_star,rtable_movie_name,rtable_movie_year,rtable_movie_director,rtable_movie_star
340,509941,2074,2023,the infiltrator,2016,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan",love the coopers,2015,Jessie Nelson,"Alan Arkin, John Goodman, Ed Helms, Diane Keaton, Jake Lacy, Anthony Mackie, June Squibb, Marisa Tomei, Amanda Seyfried, Olivia Wilde, Timothée Chalamet, Maxwell Simkins, Blake Baumgartner, Dan Amboyer, Scott Garan, Alex Borstein, Dorothy Silver, Channing Sebetich, Mike Pusateri, Larry McKay, Kanani Rose, Molly Gordon, Sylvia Kauders, Krista Marie Yu, Lev Pakman, Michael R. Wilson, Elisabeth Evans, Keenan Jolliff, Sean McGee, Rory Wilson, Quinn McColgan, Kristin Slaysman, Jon Tenney, Ralph Browning, Marc Moore, Jr., Cady Huffman, John Luoma, Ryan Borgo, Justin Lonesome, Samuel Mancini"
341,514918,2700,2037,the man who knew infinity,2015,Matt Brown,"Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi",the man who knew infinity,2016,Matt Brown,"Dev Patel, Jeremy Irons, Stephen Fry, Toby Jones, Jeremy Northam, Kevin McNally, Devika Bhise, Enzo Cilenti, Anthony Calf, Alexander Cooper, Shazad Latif, Richard Johnson, Padraic Delaney, Roman Green, Nicholas Agnew, Eleanor Inglis, Roger Narayan, Richard Cunningham, Alan Bentley, Elaine Caulfield, Arthur Wilde, Devlin Lloyd, Pat Carney, Dominic Cazenove, David Shaw Parker, Shenagh Govan, James Francis Andrews, James Thomas Scott, Thomas Bewley, Alex Bartram, Imogen Sage, Alexander Forsyth, Pip Barclay, Jon Lawes, Jack Philips, Adam Nicholas Patrick Hodge"
342,518766,166,2052,the ritual,2017,David Bruckner,"Rafe Spall, Arsher Ali, Robert James-Collier, Sam Troughton",the preppie connection,2016,Joseph Castelo,"Lucy Fry, Thomas Mann, Amy Hargreaves, Logan Huffman, Sam Page, Bill Sage, Marko Caka, Jessica Rothe, Ryan Ward, Tom Tammi, Hemky Madera, Robert Gorrie, Daniel Covin, Keenan Jolliff, Parker Pogue, Teresa Yenque, Cilda Shaur, Jimmy Brewer, David Vega, Cassidy Thornton, David Marr III, Dylan Blue, Deshawn Harold Mitchell, Gary Milner, Guillermo Arribas, Nat DeWolf, Harry Sutton Jr., Brian J. Carter, Doug Plaut"
343,518874,394,2052,the house,2017,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas",the preppie connection,2016,Joseph Castelo,"Lucy Fry, Thomas Mann, Amy Hargreaves, Logan Huffman, Sam Page, Bill Sage, Marko Caka, Jessica Rothe, Ryan Ward, Tom Tammi, Hemky Madera, Robert Gorrie, Daniel Covin, Keenan Jolliff, Parker Pogue, Teresa Yenque, Cilda Shaur, Jimmy Brewer, David Vega, Cassidy Thornton, David Marr III, Dylan Blue, Deshawn Harold Mitchell, Gary Milner, Guillermo Arribas, Nat DeWolf, Harry Sutton Jr., Brian J. Carter, Doug Plaut"
344,519113,871,2052,the shack,2017,Stuart Hazeldine,"Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell",the preppie connection,2016,Joseph Castelo,"Lucy Fry, Thomas Mann, Amy Hargreaves, Logan Huffman, Sam Page, Bill Sage, Marko Caka, Jessica Rothe, Ryan Ward, Tom Tammi, Hemky Madera, Robert Gorrie, Daniel Covin, Keenan Jolliff, Parker Pogue, Teresa Yenque, Cilda Shaur, Jimmy Brewer, David Vega, Cassidy Thornton, David Marr III, Dylan Blue, Deshawn Harold Mitchell, Gary Milner, Guillermo Arribas, Nat DeWolf, Harry Sutton Jr., Brian J. Carter, Doug Plaut"
345,519382,1656,2052,the competition,2018,Harvey Lowry,"Thora Birch, Chris Klein, Claire Coffee, David Blue",the preppie connection,2016,Joseph Castelo,"Lucy Fry, Thomas Mann, Amy Hargreaves, Logan Huffman, Sam Page, Bill Sage, Marko Caka, Jessica Rothe, Ryan Ward, Tom Tammi, Hemky Madera, Robert Gorrie, Daniel Covin, Keenan Jolliff, Parker Pogue, Teresa Yenque, Cilda Shaur, Jimmy Brewer, David Vega, Cassidy Thornton, David Marr III, Dylan Blue, Deshawn Harold Mitchell, Gary Milner, Guillermo Arribas, Nat DeWolf, Harry Sutton Jr., Brian J. Carter, Doug Plaut"
346,522869,1249,2060,mi-5,2015,Bharat Nalluri,"Kit Harington, Peter Firth, Jennifer Ehle, Michael Wildman",mi-5,2015,Bharat Nalluri,"Kit Harington, Peter Firth, Jennifer Ehle, Elyes Gabel, Tuppence Middleton, Tim McInnerny, Michael Wildman, Lara Pulver, David Harewood, Eleanor Matsuura, Elliot Levey, Ronan Summers, Laura Swift, Cosmo Jarvis, Lasco Atkins, Elizabeth Conboy, Hugh Simon, Paul Blackwell, Geoffrey Streatfield, Shane Zaza, Derek Horsham, Amra Mallassi, Larissa Kouznetsova, Luke Harris, Graham Curry, Nikos Poursanidis, Maria Teresa Creasey, David Wurawa, Brian Hanford, Don Gayle, Max Cavenham, Guy Warren-Thomas, Jason Thomas Brown, Natasha Radski, Russell Wilcox, Amelia Donkor, Matthew Walker, Dominic Garfield, Dario Parlato, Jaico Garcia, Tim Reynolds, Kelly Sweetman"
347,523043,99,2064,the meg,2018,Jon Turteltaub,"Ruby Rose, Jason Statham, Rainn Wilson, Robert Taylor",the accountant,2016,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal, Jeffrey Tambor, Cynthia Addai-Robinson, John Lithgow, Jean Smart, Andy Umberger, Alison Wright, Jason A. Davis, Robert C. Treveiler, Mary Kraft, Seth Lee (II), Jake Presley, Izzy Fenech, Ron Prather, Susan Williams, Gary Basaraba, Fernando Chien, Alex Collins, Tait Fletcher, Curtis Lyons, Buster Reeves, Ron Yuan, Sheila Maddox, Malachi Malik, Gregory Alan Williams, Kelly Collins Lintz, Jason MacDonald, Victor McCay, Michael Beasley, Viviana Chavez, Greg Sproles, Alex Huynh, Jade Halley Bartlett, Joe Hardy Jr., Roman Spink, Rick Moose, Nick Arapoglou, Angela Davis, Eric Goins, David Devries, Nicholas Martin, Samantha Janco, Joseph Levine, Christian Mendoza, Zachary James Rukavina, Robert T. McKnight ll, Angel Giuffria, Robert Kistenberg, Robert Hatch"
348,523205,2499,2064,the hollars,2016,John Krasinski,"Sharlto Copley, Charlie Day, Richard Jenkins, Anna Kendrick",the accountant,2016,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal, Jeffrey Tambor, Cynthia Addai-Robinson, John Lithgow, Jean Smart, Andy Umberger, Alison Wright, Jason A. Davis, Robert C. Treveiler, Mary Kraft, Seth Lee (II), Jake Presley, Izzy Fenech, Ron Prather, Susan Williams, Gary Basaraba, Fernando Chien, Alex Collins, Tait Fletcher, Curtis Lyons, Buster Reeves, Ron Yuan, Sheila Maddox, Malachi Malik, Gregory Alan Williams, Kelly Collins Lintz, Jason MacDonald, Victor McCay, Michael Beasley, Viviana Chavez, Greg Sproles, Alex Huynh, Jade Halley Bartlett, Joe Hardy Jr., Roman Spink, Rick Moose, Nick Arapoglou, Angela Davis, Eric Goins, David Devries, Nicholas Martin, Samantha Janco, Joseph Levine, Christian Mendoza, Zachary James Rukavina, Robert T. McKnight ll, Angel Giuffria, Robert Kistenberg, Robert Hatch"
349,523279,2654,2064,the front runner,2018,Jason Reitman,"Hugh Jackman, Vera Farmiga, Courtney Ford, J.K. Simmons",the accountant,2016,Gavin O'Connor,"Ben Affleck, Anna Kendrick, J.K. Simmons, Jon Bernthal, Jeffrey Tambor, Cynthia Addai-Robinson, John Lithgow, Jean Smart, Andy Umberger, Alison Wright, Jason A. Davis, Robert C. Treveiler, Mary Kraft, Seth Lee (II), Jake Presley, Izzy Fenech, Ron Prather, Susan Williams, Gary Basaraba, Fernando Chien, Alex Collins, Tait Fletcher, Curtis Lyons, Buster Reeves, Ron Yuan, Sheila Maddox, Malachi Malik, Gregory Alan Williams, Kelly Collins Lintz, Jason MacDonald, Victor McCay, Michael Beasley, Viviana Chavez, Greg Sproles, Alex Huynh, Jade Halley Bartlett, Joe Hardy Jr., Roman Spink, Rick Moose, Nick Arapoglou, Angela Davis, Eric Goins, David Devries, Nicholas Martin, Samantha Janco, Joseph Levine, Christian Mendoza, Zachary James Rukavina, Robert T. McKnight ll, Angel Giuffria, Robert Kistenberg, Robert Hatch"
